ticker,return_approx,n_trades,n_zero,n_reduce
ABEV3.SA,0.02818890655624573,50,11,30
AURE3.SA,-0.17610492525379728,133,13,111
B3SA3.SA,0.27510203147421075,165,32,109
BBAS3.SA,0.4101023419329184,41,21,3
BBDC4.SA,0.3762711347159693,60,28,13
BEEF3.SA,-0.5362204759886204,56,35,0
BPAC11.SA,1.6054514548647405,183,25,141
CMIG4.SA,0.3667278714068636,167,15,139
COGN3.SA,1.121951222348823,45,28,0
CPLE6.SA,0.8670165786798525,47,2,43
ELET3.SA,0.5442227166678022,98,17,66
EQTL3.SA,0.5386643277952838,42,3,37
GGBR4.SA,-0.012871712863873341,81,19,47
ITSA4.SA,0.7468275820259118,42,2,37
ITUB4.SA,0.9349940205903471,31,3,24
LREN3.SA,-0.14924987816354196,25,19,0
MGLU3.SA,-0.6301322411616077,22,14,0
PETR3.SA,0.3863201632987787,16,11,0
PETR4.SA,0.4650960610504682,11,7,0
PRIO3.SA,0.25816110206152443,46,6,37
RADL3.SA,0.10214966831549499,5,3,0
RAIL3.SA,-0.19479046489841267,3,2,0
RDOR3.SA,0.6022894945307764,3,2,0
RENT3.SA,-0.14098039341614998,1,1,0
